NOTES:,This sheet contains merged booths (after 2010). See Merges sheet,,,,,,,,,
,,: merged booths after 2010,,,,,,,,
,,: error. No nearby 2010 matchs,,,,,,,,
,,: a sythesized 2006 result,,,,,,,,
,,,,,,,,,,
BOOTH_NAME,VENUE NAME,ADDRESS,DISTRICT,REGION,GREENS_PERC_2010,GREENS_PERC_2006,VENUE NAME,ADDRESS,LATITUDE,LONGITUDE
Drysdale,Drysdale Uniting Church Hall,Palmerston Street Drysdale,Bellarine,Western Victoria,9.25,8.76,Drysdale Uniting Church Hall,Palmerston Street Drysdale,-38.173359,144.569019
Dunkeld,Dunkeld Hall,Stirling Street Dunkeld,Lowan,Western Victoria,7.84,9.13,Dunkeld Hall,Stirling Street Dunkeld,-37.651345,142.34219
Dunolly,Dunolly Senior Citizens Clubrooms,Bull Street Dunolly,Ripon,Western Victoria,6.79,7.59,Dunolly Senior Citizens Clubrooms,Bull Street Dunolly,-36.858217,143.731912
Ecklin,Ecklin Hall,Timboon-Terang Road Ecklin,Polwarth,Western Victoria,2.20,1.61,Ecklin Hall,Timboon-Terang Road Ecklin,-38.389179,142.909889
Edenhope,Edenhope Mechanics Institute,Elizabeth Street Edenhope,Lowan,Western Victoria,5.16,2.37,Edenhope Mechanics Institute,Elizabeth Street Edenhope,-37.035979,141.294854
Elaine,Elaine Mechanics Institute,Pearson Street Elaine,Buninyong,Western Victoria,9.16,9.26,Elaine Mechanics Institute,Pearson Street Elaine,-37.777334,144.032378
Elliminyt,Elliminyt Primary Events & Education Centre,Main Road Elliminyt,Polwarth,Western Victoria,5.85,6.16,Elliminyt Primary Events & Education Centre,Main Road Elliminyt,-38.361319,143.583606
Elmhurst,Elmhurst Mechanics Hall,High Street Elmhurst,Ripon,Western Victoria,10.65,9.26,Elmhurst Mechanics Hall,High Street Elmhurst,-37.179521,143.248468
Exford,Exford Primary School,Exford Road Exford,Melton,Western Victoria,8.84,3.48,Exford Primary School,Exford Road Exford,-37.74472,144.558869
Forrest,Forrest Public Hall,Grant Street Forrest,Polwarth,Western Victoria,19.73,21.53,Forrest Public Hall,Grant Street Forrest,-38.517181,143.714053
Fyans Park,St Joseph's College,135 Aphrasia Street Newtown,Geelong,Western Victoria,11.00,8.49,St Joseph's College,135 Aphrasia Street Newtown,-38.150198,144.331867
Fyansford,Stonehaven CFA Fire Station,corner Dog Rocks and Fyansford-Gheringhap Roads Stonehaven,Polwarth,Western Victoria,8.17,10.30,Stonehaven CFA Fire Station,corner Dog Rocks and Fyansford-Gheringhap Roads Stonehaven,-38.112876,144.265947
Geelong,Geelong High School,385 Ryrie Street Geelong,Geelong,Western Victoria,14.82,12.26,Geelong High School,385 Ryrie Street Geelong,-38.152556,144.372099
Geelong East,Geelong East Primary School,184 Boundary Road Geelong East,Geelong,Western Victoria,10.04,6.53,Geelong East Primary School,184 Boundary Road Geelong East,-38.175381,144.381596
